city_name,barangay_name
"Enrique B. Magalona",Tanza
"Enrique B. Magalona",Tuburan
"Enrique B. Magalona",Tomongtong
Escalante,Alimango
Escalante,Balintawak
Escalante,Magsaysay
Escalante,Binaguiohan
Escalante,Buenavista
Escalante,Cervantes
Escalante,Dian-ay
Escalante,"Hacienda Fe"
Escalante,Jonobjonob
Escalante,Japitan
Escalante,Langub
Escalante,Libertad
Escalante,Mabini
Escalante,Malasibog
Escalante,Paitan
Escalante,Pinapugasan
Escalante,"Old Poblacion"
Escalante,Rizal
Escalante,Tamlang
Escalante,Udtongan
Escalante,Washington
Himamaylan,Aguisan
Himamaylan,Buenavista
Himamaylan,Cabadiangan
Himamaylan,Cabanbanan
Himamaylan,Carabalan
Himamaylan,Caradio-an
Himamaylan,Libacao
Himamaylan,Mambagaton
Himamaylan,Nabali-an
Himamaylan,Mahalang
Himamaylan,"San Antonio"
Himamaylan,Sara-et
Himamaylan,Su-ay
Himamaylan,Talaban
Himamaylan,To-oy
Himamaylan,"Barangay I"
Himamaylan,"Barangay II"
Himamaylan,"Barangay III"
Himamaylan,"Barangay IV"
Hinigaran,Anahaw
Hinigaran,Aranda
Hinigaran,"Barangay I"
Hinigaran,"Barangay II"
Hinigaran,"Barangay III"
Hinigaran,"Barangay IV"
Hinigaran,Bato
Hinigaran,Calapi
Hinigaran,Camalobalo
Hinigaran,Camba-og
Hinigaran,Cambugsa
Hinigaran,Candumarao
Hinigaran,Gargato
Hinigaran,Himaya
Hinigaran,Miranda
Hinigaran,Nanunga
Hinigaran,Narauis
Hinigaran,Palayog
Hinigaran,Paticui
Hinigaran,Pilar
Hinigaran,Quiwi
Hinigaran,Tagda
Hinigaran,Tuguis
Hinigaran,Baga-as
Hinoba-an,Alim
Hinoba-an,Asia
Hinoba-an,Bacuyangan
Hinoba-an,"Barangay I"
Hinoba-an,"Barangay II"
Hinoba-an,Bulwangan
Hinoba-an,Culipapa
Hinoba-an,Damutan
Hinoba-an,Daug
Hinoba-an,Po-ok
Hinoba-an,"San Rafael"
Hinoba-an,Sangke
Hinoba-an,Talacagay
Ilog,Andulauan
Ilog,Balicotoc
Ilog,Bocana
Ilog,Calubang
Ilog,Canlamay
Ilog,Consuelo
Ilog,Dancalan
Ilog,Delicioso
Ilog,Galicia
Ilog,Manalad
Ilog,Pinggot
Ilog,"Barangay I"
Ilog,"Barangay II"
Ilog,Tabu
Ilog,"Vista Alegre"
Isabela,Amin
Isabela,Banogbanog
Isabela,Bulad
Isabela,Bungahin
Isabela,Cabcab
Isabela,Camangcamang
Isabela,"Camp Clark"
Isabela,Cansalongon
Isabela,Guintubhan
Isabela,Libas
Isabela,Limalima
Isabela,Makilignit
Isabela,Mansablay
Isabela,Maytubig
Isabela,Panaquiao
Isabela,"Barangay 1"
Isabela,"Barangay 2"
Isabela,"Barangay 3"
Isabela,"Barangay 4"
Isabela,"Barangay 5"
Isabela,"Barangay 6"
Isabela,"Barangay 7"
Isabela,"Barangay 8"
Isabela,"Barangay 9"
Isabela,Riverside
Isabela,Rumirang
Isabela,"San Agustin"
Isabela,Sebucawan
Isabela,Sikatuna
Isabela,Tinongan
Kabankalan,Bantayan
Kabankalan,Binicuil
Kabankalan,Camansi
Kabankalan,Camingawan
Kabankalan,Camugao
Kabankalan,Carol-an
Kabankalan,"Daan Banua"
Kabankalan,Hilamonan
Kabankalan,Inapoy
Kabankalan,Linao
Kabankalan,Locotan
Kabankalan,Magballo
Kabankalan,Oringao
Kabankalan,Orong
Kabankalan,Pinaguinpinan
Kabankalan,"Barangay 5"
Kabankalan,"Barangay 6"
Kabankalan,"Barangay 7"
Kabankalan,"Barangay 8"
Kabankalan,"Barangay 9"
Kabankalan,"Barangay 1"
Kabankalan,"Barangay 2"
Kabankalan,"Barangay 3"
Kabankalan,"Barangay 4"
Kabankalan,Salong
Kabankalan,Tabugon
Kabankalan,Tagoc
Kabankalan,Talubangi
Kabankalan,Tampalon
Kabankalan,Tan-Awan
Kabankalan,Tapi
Kabankalan,Tagukon
"La Carlota",Ara-al
"La Carlota",Ayungon
"La Carlota",Balabag
"La Carlota",Batuan
"La Carlota","Roberto S. Benedicto"
"La Carlota",Cubay
"La Carlota",Haguimit
"La Carlota","La Granja"
"La Carlota",Nagasi
"La Carlota","Barangay I"
"La Carlota","Barangay II"
"La Carlota","Barangay III"
"La Carlota","San Miguel"
"La Carlota",Yubo
"La Castellana",Biaknabato
"La Castellana",Cabacungan
"La Castellana",Cabagnaan
"La Castellana",Camandag
"La Castellana",Lalagsan
"La Castellana",Manghanoy
"La Castellana",Mansalanao
"La Castellana",Masulog
"La Castellana",Nato
"La Castellana",Puso
"La Castellana",Robles
"La Castellana",Sag-Ang
"La Castellana",Talaptap
Manapla,Chambery
Manapla,"Barangay I"
Manapla,"Barangay I-A"
Manapla,"Barangay I-B"
Manapla,"Barangay II"
Manapla,"Barangay II-A"
Manapla,"Punta Mesa"
Manapla,"Punta Salong"
Manapla,Purisima
Manapla,"San Pablo"
Manapla,"Santa Teresa"
Manapla,Tortosa
"Moises Padilla","Barangay 1"
"Moises Padilla","Barangay 2"
"Moises Padilla","Barangay 3"
"Moises Padilla","Barangay 4"
"Moises Padilla","Barangay 5"
"Moises Padilla","Barangay 6"
"Moises Padilla","Barangay 7"
"Moises Padilla","Crossing Magallon"
"Moises Padilla",Guinpana-an
"Moises Padilla",Inolingan
"Moises Padilla",Macagahay
"Moises Padilla","Magallon Cadre"
"Moises Padilla",Montilla
"Moises Padilla",Odiong
"Moises Padilla","Quintin Remo"
Murcia,Abo-abo
Murcia,Alegria
Murcia,Amayco
Murcia,"Zone I"
Murcia,"Zone II"
Murcia,"Zone III"
Murcia,"Zone IV"
Murcia,"Zone V"
Murcia,Blumentritt
Murcia,Buenavista
Murcia,Caliban
Murcia,Canlandog
Murcia,Cansilayan
Murcia,Damsite
Murcia,Iglau-an
Murcia,"Lopez Jaena"
Murcia,Minoyan
Murcia,Pandanon
Murcia,"San Miguel"
Murcia,"Santa Cruz"
Murcia,"Santa Rosa"
Murcia,Salvacion
Murcia,Talotog
Pontevedra,Antipolo
Pontevedra,"Barangay I"
Pontevedra,"Barangay II"
Pontevedra,"Barangay III"
Pontevedra,"Buenavista Gibong"
Pontevedra,"Buenavista Rizal"
Pontevedra,Burgos
Pontevedra,Cambarus
Pontevedra,Canroma
Pontevedra,"Don Salvador Benedicto"
Pontevedra,"General Malvar"
Pontevedra,Gomez
Pontevedra,"M. H. Del Pilar"
Pontevedra,Mabini
Pontevedra,Miranda
Pontevedra,Pandan
Pontevedra,Recreo
Pontevedra,"San Isidro"
Pontevedra,"San Juan"
Pontevedra,Zamora
Pulupandan,"Barangay Zone 1-A"
Pulupandan,"Barangay Zone 4-A"
Pulupandan,"Barangay Zone 1"
Pulupandan,"Barangay Zone 2"
Pulupandan,"Barangay Zone 3"
Pulupandan,"Barangay Zone 4"
Pulupandan,"Barangay Zone 5"
Pulupandan,"Barangay Zone 6"
Pulupandan,"Barangay Zone 7"
Pulupandan,Canjusa
Pulupandan,"Crossing Pulupandan"
Pulupandan,Culo
Pulupandan,Mabini
Pulupandan,Pag-ayon
Pulupandan,"Palaka Norte"
Pulupandan,"Palaka Sur"
Pulupandan,Patic
Pulupandan,Tapong
Pulupandan,Ubay
Pulupandan,Utod
Sagay,"Andres Bonifacio"
Sagay,Bato
Sagay,Baviera
Sagay,Bulanon
Sagay,"Campo Himoga-an"
Sagay,"Campo Santiago"
Sagay,"Colonia Divina"
Sagay,Fabrica
Sagay,"General Luna"
Sagay,"Himoga-an Baybay"
Sagay,"Lopez Jaena"
Sagay,Malubon
Sagay,Makiling
Sagay,Molocaboc
Sagay,"Old Sagay"
Sagay,Paraiso
Sagay,Plaridel
Sagay,"Poblacion I"
Sagay,"Poblacion II"
Sagay,Puey
Sagay,Rizal
Sagay,Taba-ao
Sagay,Tadlong
Sagay,Vito
Sagay,"Rafaela Barrera"
"San Carlos",Bagonbon
"San Carlos",Buluangan
"San Carlos",Codcod
"San Carlos",Ermita
"San Carlos",Guadalupe
"San Carlos",Nataban
"San Carlos",Palampas
"San Carlos","Barangay I"
"San Carlos","Barangay II"
"San Carlos","Barangay III"
"San Carlos","Barangay IV"
"San Carlos","Barangay V"
"San Carlos","Barangay VI"
"San Carlos",Prosperidad
"San Carlos",Punao
"San Carlos",Quezon
"San Carlos",Rizal
"San Carlos","San Juan"
"San Enrique",Bagonawa
"San Enrique",Baliwagan
"San Enrique",Batuan
"San Enrique",Guintorilan
"San Enrique",Nayon
"San Enrique",Poblacion
"San Enrique",Sibucao
"San Enrique","Tabao Baybay"
"San Enrique","Tabao Rizal"
"San Enrique",Tibsoc
Silay,Balaring
Silay,"Barangay I"
Silay,"Barangay II"
Silay,"Barangay III"
Silay,"Barangay IV"
Silay,"Barangay V"
Silay,"Barangay VI Pob."
Silay,"Eustaquio Lopez"
Silay,Guimbala-on
Silay,Guinhalaran
Silay,"Kapitan Ramon"
Silay,Lantad
Silay,Mambulac
Silay,Rizal
Silay,Bagtic
Silay,Patag
Sipalay,"Barangay 1"
Sipalay,"Barangay 2"
Sipalay,"Barangay 3"
Sipalay,"Barangay 4"
Sipalay,"Barangay 5"
Sipalay,Cabadiangan
Sipalay,Camindangan
Sipalay,Canturay
Sipalay,Cartagena
Sipalay,Cayhagan
Sipalay,"Gil Montilla"
Sipalay,Mambaroto
Sipalay,Manlucahoc
Sipalay,Maricalum
Sipalay,Nabulao
Sipalay,Nauhang
Sipalay,"San Jose"
Talisay,Bubog
Talisay,Cabatangan
Talisay,"Zone 4-A"
Talisay,"Zone 4"
Talisay,Concepcion
Talisay,"Dos Hermanas"
Talisay,"Efigenio Lizares"
Talisay,"Zone 7"
Talisay,"Zone 14-B"
Talisay,"Zone 12-A"
Talisay,"Zone 10"
Talisay,"Zone 5"
Talisay,"Zone 16"
Talisay,Matab-ang
Talisay,"Zone 9"
Talisay,"Zone 6"
Talisay,"Zone 14"
Talisay,"San Fernando"
Talisay,"Zone 15"
Talisay,"Zone 14-A"
Talisay,"Zone 11"
Talisay,"Zone 8"
Talisay,"Zone 12"
Talisay,"Zone 1"
Talisay,"Zone 2"
Talisay,"Zone 3"
Talisay,Katilingban
Toboso,Bandila
Toboso,Bug-ang
Toboso,"General Luna"
Toboso,Magticol
Toboso,Poblacion
Toboso,Salamanca
Toboso,"San Isidro"
Toboso,"San Jose"
Toboso,Tabun-ac
Valladolid,Alijis
Valladolid,Ayungon
Valladolid,Bagumbayan
Valladolid,Batuan
Valladolid,Bayabas
Valladolid,"Central Tabao"
Valladolid,Doldol
Valladolid,Guintorilan
Valladolid,Lacaron
Valladolid,Mabini
Valladolid,Pacol
Valladolid,Palaka
Valladolid,Paloma
Valladolid,Poblacion
Valladolid,"Sagua Banua"
Valladolid,"Tabao Proper"
Victorias,"Barangay I"
Victorias,"Barangay II"
Victorias,"Barangay III"
Victorias,"Barangay IV"
Victorias,"Barangay V"
Victorias,"Barangay VI"
Victorias,"Barangay VII"
Victorias,"Barangay VIII"
Victorias,"Barangay IX"
Victorias,"Barangay X"
Victorias,"Barangay XI"
Victorias,"Barangay XII"
Victorias,"Barangay XIII"
Victorias,"Barangay XIV"
Victorias,"Barangay XV"
Victorias,"Barangay XV-A"
Victorias,"Barangay XVI"
Victorias,"Barangay XVI-A"
Victorias,"Barangay XVII"
Victorias,"Barangay XVIII"
Victorias,"Barangay XVIII-A"
Victorias,"Barangay XIX"
Victorias,"Barangay XIX-A"
Victorias,"Barangay XX"
Victorias,"Barangay XXI"
Victorias,"Barangay VI-A"
"Salvador Benedicto",Bago
"Salvador Benedicto","Bagong Silang"
"Salvador Benedicto",Bunga
"Salvador Benedicto",Igmaya-an
"Salvador Benedicto",Kumaliskis
"Salvador Benedicto",Pandanon
"Salvador Benedicto",Pinowayan
Bacolod,Alangilan
Bacolod,Alijis
Bacolod,Banago
Bacolod,"Barangay 1"
Bacolod,"Barangay 10"
Bacolod,"Barangay 11"
Bacolod,"Barangay 12"
Bacolod,"Barangay 13"
Bacolod,"Barangay 14"
Bacolod,"Barangay 15"
Bacolod,"Barangay 16"
Bacolod,"Barangay 17"
Bacolod,"Barangay 18"
Bacolod,"Barangay 19"
Bacolod,"Barangay 2"
Bacolod,"Barangay 20"
Bacolod,"Barangay 21"
Bacolod,"Barangay 22"
Bacolod,"Barangay 23"
Bacolod,"Barangay 24"
Bacolod,"Barangay 25"
Bacolod,"Barangay 26"
Bacolod,"Barangay 27"
Bacolod,"Barangay 28"
Bacolod,"Barangay 29"
Bacolod,"Barangay 3"
Bacolod,"Barangay 30"
Bacolod,"Barangay 31"
Bacolod,"Barangay 32"
Bacolod,"Barangay 33"
Bacolod,"Barangay 34"
Bacolod,"Barangay 35"
Bacolod,"Barangay 36"
Bacolod,"Barangay 37"
Bacolod,"Barangay 38"
Bacolod,"Barangay 39"
Bacolod,"Barangay 4"
Bacolod,"Barangay 40"
Bacolod,"Barangay 41"
Bacolod,"Barangay 5"
Bacolod,"Barangay 6"
Bacolod,"Barangay 7"
Bacolod,"Barangay 8"
Bacolod,"Barangay 9"
Bacolod,Bata
Bacolod,Cabug
Bacolod,Estefania
Bacolod,Felisa
Bacolod,Granada
Bacolod,Mandalagan
Bacolod,Mansilingan
Bacolod,Montevista
Bacolod,Pahanocoy
Bacolod,"Punta Taytay"
Bacolod,Singcang-Airport
Bacolod,Sum-ag
Bacolod,Taculing
Bacolod,Tangub
Bacolod,Villamonte
Bacolod,"Vista Alegre"
Bacolod,Handumanan
